"studyName","Topic","Description"
"BondLamberty2002","Biomass","Samples were placed in a forced-air oven, dried to a constant mass at 70degC, and sorted into new (current year) foliage, older foliage, new (current-year) branches, older branches, and stem tissue. Conifer cones were discarded. Stems of large young jack pine trees were cut into 1-m sections and weighed on an electronic balance, while the stems of other large trees were cut into 2-m sections and weighed. A 2 cm thick disk was cut from the base of each stem section and weighed on an electronic balance. The dry biomass of each stem section was calculated by multiplying the wet mass of each stem section by the dry/wet ratio of each stem disk. The total dry biomass of each stem was calculated by summing the dry biomass of all stem sections."
"BondLamberty2002","Traits","Tree height (cm), Diameter at soil surface (cm), Diameter at 1.37 m (cm), Total stem biomass (g), Total foliage biomass (g), Sapwood area at DBH or D0 (cm^2), Coarse root biomass (g), age (years)."
"BondLamberty2002","Year collected","1994, 1999-2000"
"BondLamberty2002","Acknowledgements","B.B.-L. was supported by the Terrestrial Ecology program of the DOE Office of Science"
"Brown1978","Sampling strategy"," The sampling was designed to include the natural variation in crown weight by selecting trees from stands on poor-to-good sites and from low-to-high stand density conditions throughout western Montana and nothern Idaho."
"Brown1978","Leaf area"," Not measured."
"Brown1978","Stem cross sectional area","DBH outside bark."
"Brown1978","Height","Total tree height (includes stump)."
"Brown1978","Crown area","Crown width was measured as the average of two perpendicular measurements taken at the bottom of each crown section."
"Brown1978","Biomass","Fresh weight was measured by crown section in the field, and converted to dry mass using moisture content determined from sample branches. For small trees, most or all of the entire crown was often ovendried."
"Brown1978","Growth environment","Naturally grown."
"Burger1953","Sampling strategy"," Trees were selected to cover a range in size and dominance classes, from a number of stands ranging in altitude from 400 to 1800 m asl."
"Burger1953","Leaf area"," Methods unknown."
"Burger1953","Stem cross sectional area","DBH (measured by individual)."
"Burger1953","Height","Unknown (measured by individual)."
"Burger1953","Biomass","Branch biomass was converted from fresh weight and water content as provided in the publication."
"Burger1953","Growth environment","Even-aged plantations, 'gleichaltrigen Hochwald'."
"Camac0000","Sampling strategy","Seedlings of the four dominant alpine/subalpine shrub species were randomly harvested from a heathland site that was burnt by a January 2003 wildfire. At least 30 individuals were sampled in each species. Seedlings collected for harvest spanned the range of sizes present at the site, and always occurred in bare ground patches (hence were exposed to direct sunlight)."
"Camac0000","Height","Height was measured as the vertical distance from the ground to the highest apex. This measurement was made using calipers"
"Camac0000","Diameter at crown base","Diameter of stem at first branch. This diameter was measured using a caliper prior to harvesting"
"Camac0000","Diameter at stem base","Diameter of stem at ground level. This diameter was measured using a caliper prior to harvesting"
"Camac0000","Leaf mass","All leaves on each seedling were dried in a oven for 48 hours at 70oC"
"Camac0000","Stem mass","Stems and branches of each seedling were dried in a oven for 48 hours at 70oC"
"Camac0000","Total mass","Total mass was the sum of leaf and stem dry mass."
"Camac0000","Year collected","2010"
"Claveau2002","Sampling strategy","Three study sites in British Columbia and six in Quebec were selected (Table 1). They were selected to ensure that trees of each species could be sampled across a full light gradient (Fig. 1). For each species, care was taken to select stands within the same soil drainage and soil texture classes. Stands with multicanopied structure were preferred, because they offered better opportunities for finding a range of sample tree heights across light gradients. Areas disturbed within the last 10 years (e.g., harvesting, blowdown, insect related attack) were avoided. Study trees were sampled along 5 m wide transects established along gradients of stand density."
"Claveau2002","Age","Tree age was estimated from a disk at ground level by counting the number of rings."
"Claveau2002","Total height","Stem length from ground level to the tip of the leader."
"Claveau2002","Height to crown base","Distance from the ground to the base of the crown."
"Claveau2002","Diameter of stem at base","Diameter of the stem above the root swell. This diameter was measured using a caliper."
"Claveau2002","Diameter of crown","Average of crown diameters taken on a North-South and East-West axis."
"Claveau2002","Crown depth","Distance from the tip of the apex down to the base of the crown."
"Claveau2002","Growth environment","Field, wild."
"Claveau2005","Sampling strategy","Three study sites in British Columbia and six in Quebec were selected (Table 1). They were selected to ensure that trees of each species could be sampled across a full light gradient (Fig. 1). For each species, care was taken to select stands within the same soil drainage and soil texture classes. Stands with multicanopied structure were preferred, because they offered better opportunities for finding a range of sample tree heights across light gradients. Areas disturbed within the last 10 years (e.g., harvesting, blowdown, insect related attack) were avoided. Study trees were sampled along 5 m wide transects established along gradients of stand density."
"Claveau2005","Age","Tree age was estimated from a disk at ground level by counting the number of rings."
"Claveau2005","Leaf area of whole plant","Leaf area was estimated using the specific needle area and weight mass of each needle age class"
"Claveau2005","Area of sapwood cross section at base","Sapwood area was estimated from a disk sawn at the base of the seedling. Sapwood area was located using a backlight and then drawn on the disk . The surface of the shaded area was measured using the image analysis software NIH Image"
"Claveau2005","Total height","Stem length from ground level to the tip of the leader"
"Claveau2005","Diameter of stem at base","Diameter of the stem above the root swell. This diameter was measured using a caliper."
"Claveau2005","Leaf mass","Mass of all needles. Needles were were dried in a forced-air oven for 48 h at 70 C. Abies trees taller than 1 m were sub-sampled. Branches were first sorted into groups of both similar length and comparable ratios of foliage versus wood mass (visual estimation). One branch from each group was processed. Each group of the remaining branches was weighed to determine fresh mass. To determine dry mass, ratios of ovendried mass to fresh mass of the processed branch from each group of branches were calculated and applied to the corresponding group. To determine the total dry mass of needle and branches of each tree, the estimated masses were summed."
"Claveau2005","Mass of all stem tissue","Mass of stem and branches.  They were dried in a forced-air oven for 48 h at 70 C, whereas bigger stems were dried at 70 C for 7 days. Abies trees taller than 1 m were sub-sampled. Branches were first sorted into groups of both similar length and comparable ratios of foliage versus wood mass (visual estimation). One branch from each group was processed. Each group of the remaining branches was weighed to determine fresh mass. To determine dry mass, ratios of ovendried mass to fresh mass of the processed branch from each group of branches were calculated and applied to the corresponding group. To determine the total dry mass of needle and branches of each tree, the estimated masses were summed."
"Claveau2005","Mass of all above-ground structures","See Leaf mass and Mass of all stem tissue."
"Claveau2005","Branch mass","Branches were dried in a forced-air oven for 48 h at 70 C. Abies trees taller than 1 m were sub-sampled. Branches were first sorted into groups of both similar length and comparable ratios of foliage versus wood mass (visual estimation). One branch from each group was processed. Each group of the remaining branches was weighed to determine fresh mass. To determine dry mass, ratios of ovendried mass to fresh mass of the processed branch from each group of branches were calculated and applied to the corresponding group. To determine the total dry mass of needle and branches of each tree, the estimated masses were summed."
"Claveau2005","Leaf mass per area","m.lf/a.lf"
"Claveau2005","Growth environment","Field, wild."
"Claveau2005","Other variables","Saplings grown under closed canopy and canopy openness were measured using hemispherical photographs"
"Coll2008","Sampling strategy","In August 2001, intensive allometric measurements were initiated. Saplings/trees from each of the eight species were grouped in five size class categories based on their height. The height range for each species in July 2001 was as follows: Luehea (0.56-4.42 m), Cordia (1.9-3.32 m), Sterculia (0.58-5.15 m), Antirrhoea (0.57-2.77 m), Enterolobium (1.66-2.48 m), Cedrela (0.56-3.57 m), Tabebuia (0.37-3.18 m) and Hura (0.76-4.85 m). Care was taken to sample a similar height range from all species. Differences in total height among individuals were caused by differences in growth caused by micro-scale variations in topography. All sampled individuals were healthy. Within each size category, one individual per species was randomly selected for allometric and biomass measurements. Sample size was thus five trees per species for a total of forty saplings. Each of the experimental saplings was harvested and the root system excavated and the following traits were measured: (1) diameter at 10 cm from the ground; (2) height; (3) number, length and biomass of branches;(4) trunk biomass and (5) root biomass. All leaves from the saplings were harvested and dried to provide total leaf biomass."
"Coll2008","Leaf area","Specific leaf area (SLA) calculated from another study (Delagrange et al. 2008) was used to scale up biomass of leaves to total leaf area per tree. SLA values were obtained from fifteen to twenty-five leaves per species where the leaf area had been measured with a leaf area meter (Li-Cor 3100) before being dried and weighed."
"Coll2008","Stem cross sectional area","Stem diameter was measured at 10cm from the soil surface."
"Coll2008","Height","Height was measured on each individual."
"Coll2008","Biomass","Dry mass of all material."
"Coll2008","Traits","specific leaf area."
"Coll2008","Other variables","branch biomass (g), total leaf biomass (g), total aboveground biomass (g), total belowground biomass (g), total plant biomass (g), stem.biomass (g)"
"Coll2008","Year collected","2001"
"Coll2008","Acknowledgements","J. Monteza for supervising and motivating the team of workers digging roots in the wet, clay rich soils of Sardinilla, Panama"
"Dannoura2006","Sampling strategy","In the November 2000 and September 2001, 16 trees were harvested in a forest adjacent to the Yamashiro Experimental Forest (Dannoura et al. 2006). Each tree was cut down and roots were excavated carefully. One sample tree (Ilex pedunculosa, DBH = 47.49 cm) had been uprooted by strong wind and lost some parts of roots."
"Dannoura2006","Height","Tree height was measured after trees were cut down except Ilex pedunculosa tree with DBH = 47.49 cm, which was estimated from a allometric equation (Dannoura et al. 2006)."
"Dannoura2006","Biomass","Aboveground and root dry weights were measured after oven-dried at 95 degrees C for 48 hours (Dannoura et al. 2006). Biomass of each lost root in Ilex pedunculosa sample tree (DBH = 47.49 cm) was estimated from the root diameter of the end point of the remaining root and the allometric equation RW = 0.0738 d ^2.4652 where RW was dry weight (g) of a root with basal root diameter of d (mm). This equation was obtained from 23 root samples (d = 7.0-34.7 mm) collected from this tree."
"Dannoura2006","Other variables","Root biomass data for trees reported in Goto et al. (2003) are merged with the data of Goto2013 by M.I. Ishihara. Only data for trees not reported in Goto et al. (2003) are listed here. Species name and family names were converted by M.I. Ishihara according to the following references: Satake Y, Hara H (1989a) Wild flower of Japan Woody plants I (in Japanese). Heibonsha, Tokyo; Satake Y, Hara H (1989b) Wild flower of Japan Woody plants II (in Japanese). Heibonsha, Tokyo."
"Delagrange0000a","Sampling strategy"," 48 plots of 30m2 were created in the center of small (n=16) and big (n=16) gaps as well as in the nearby understory (n=16). Then a maximum of 5 seedlings of both species were harvested carrefully in the center, North, South, West and East part of the 30m2 plot."
"Delagrange0000a","Leaf area"," Leaf area was recorded using LI-3000 device from LiCOR while leaves were still fresh (i.e. right back from the field)."
"Delagrange0000a","Stem cross sectional area"," Stem diameter was recorded using a caliper at the colar and before seedling harvest."
"Delagrange0000a","Height"," Height was measured using a measuring tape before seedling harvest."
"Delagrange0000a","Crown area"," Crown width was measured as the mean of 2 perpendicular diameters."
"Delagrange0000a","Biomass"," Tree compartments were partitioned and dried at 70 deg C for several days until measured mass was constant."
"Delagrange0000a","Traits"," Crown height was measured as the lenght of the stem supporting alive branches or leaves. LMA was calculated from total leaf mass and total leaf area."
"Delagrange0000a","Growth environment"," Seedlings were naturally regenerated in the understory or in experimental gaps of small or big size. Light gradient was from 20% to 80% of total incoming PPFD."
"Delagrange0000b","Sampling strategy"," 60 transects were done in 4 sugar maple and yellow birch stands. Seedlings and saplings were selected along the transect to cover the largest size gradient. Individuals were then harvested carefully to obtain total biomass."
"Delagrange0000b","Leaf area"," leaf area was calculated using a scanner. For small individuals, total leaf area was scanned while for bigger saplings only half or a third of the leaf area was scanned."
"Delagrange0000b","Stem cross sectional area"," Stem Diameter was measured using a digital caliper"
"Delagrange0000b","Height"," height was measured using a measuring tape."
"Delagrange0000b","Crown area"," Crown width was measured as the mean of 2 perpendicular diameters."
"Delagrange0000b","Biomass"," Individuals compartments were partiotioned and then dried until weigth remains constant."
"Delagrange0000b","Traits"," Crown height was measured as the lenght of the stem supporting alive branches or leaves. LMA was measured using total leaf area and biomass excepted on bigger individuals for which a subsample was used."
"Delagrange0000b","Growth environment"," 5-60% of total PPFD. 2/3 of the individuals were growing on deadwood and the rest on mineral soil."
"Delagrange2004","Sampling strategy","After 4 years of treatment (opening and/or shading nets) 46 sugar maple and 44 yellow birch naturally regenerated were sampled in gaps and in the understory. 1 individual of each species was harvested in each gap excepted if the species was missing."
"Delagrange2004","Leaf area","leaf area was measured on a subsample of leaves to generate LMA. Total leaf mass and LMA was then used to calculate total leaf area"
"Delagrange2004","Stem cross sectional area","Stem diameter at collar was measured using a caliper."
"Delagrange2004","Height","Height was measured using a measuring tape."
"Delagrange2004","Crown area","Crown width was calculated as the mean of 2 perpendicular diameters."
