"Tree","Ring","CO2.trt","Classif","Height","Diameter","time","diam","Date","biom"
513,5,"elevated","Dominant",20.9,39.1,45,39.19,2015-12-14,622.725973792459
514,5,"elevated","Codominant",21.3,25.34,45,25.48,2015-12-14,227.391127600603
515,5,"elevated","Dominant",21.1,24.13,45,24.31,2015-12-14,203.705928052607
516,5,"elevated","Suppressed",19.8,21.3,45,21.41,2015-12-14,151.324715253524
517,5,"elevated","Suppressed",19.9,21.07,45,21.02,2015-12-14,144.953067142929
518,5,"elevated","Suppressed",14.4,15.72,45,15.73,2015-12-14,73.5549788339678
519,5,"elevated","Codominant",21.1,22.79,45,23.3,2015-12-14,184.450450002289
521,5,"elevated","Suppressed",16,18.83,45,18.69,2015-12-14,110.11148738786
522,5,"elevated","Codominant",22.1,21.38,45,21.53,2015-12-14,153.316852082654
523,5,"elevated","Dominant",21.2,23.71,45,24.51,2015-12-14,207.649176081089
524,5,"elevated","Suppressed",13.3,15.1,45,15.01,2015-12-14,65.9170379651237
525,5,"elevated","Dominant",21.8,27.83,45,28.57,2015-12-14,297.232864161335
526,5,"elevated","Codominant",20.2,21,45,21.27,2015-12-14,149.019393077176
528,5,"elevated","Suppressed",19.4,22.72,45,23.6,2015-12-14,190.055722628226
529,5,"elevated","Suppressed",11.5,17.65,45,17.51,2015-12-14,94.5271242425801
530,5,"elevated","Dominant",19.4,26.16,45,26.73,2015-12-14,254.357429489931
532,5,"elevated","Suppressed",18.7,19.83,45,19.86,2015-12-14,126.922405721447
533,5,"elevated","Codominant",22.2,29.85,45,30.33,2015-12-14,341.860012392775
601,6,"ambient","Suppressed",22.8,28.13,45,28.35,2015-12-14,291.904662481949
602,6,"ambient","Suppressed",16.9,18.24,45,18.38,2015-12-14,105.885221733471
603,6,"ambient","Dominant",12.3,55.49,45,55.87,2015-12-14,1427.79203497411
604,6,"ambient","Suppressed",15.4,25.7,45,25.74,2015-12-14,232.857834054448
605,6,"ambient","Suppressed",20.7,16.85,45,16.71,2015-12-14,84.7289367714792
606,6,"ambient","Suppressed",11.5,21.16,45,21.15,2015-12-14,147.059516479849
607,6,"ambient","Dominant",14.9,45.53,45,46.01,2015-12-14,906.444231983299
609,6,"ambient","Suppressed",7.9,18.6,45,18.46,2015-12-14,106.966807497694
610,6,"ambient","Codominant",19.5,26.19,45,26.6,2015-12-14,251.472149276121
611,6,"ambient","Suppressed",17.2,16.69,45,16.56,2015-12-14,82.9598659897078
612,6,"ambient","Dominant",21.3,32.85,45,32.89,2015-12-14,413.234267115383
613,6,"ambient","Codominant",12.6,20,45,20.09,2015-12-14,130.388688155343
614,6,"ambient","Dominant",7.1,35.74,45,36.11,2015-12-14,514.180008161693
618,6,"ambient","Codominant",20.7,22.09,45,22.27,2015-12-14,165.932773293469
619,6,"ambient","Suppressed",8.8,17.98,45,17.88,2015-12-14,99.2674458755714
620,6,"ambient","Codominant",11.5,23.04,45,23.4,2015-12-14,186.308200123433
621,6,"ambient","Codominant",4.8,14.99,45,15.15,2015-12-14,67.3647069337706
